cdm_semantic_meaning,description,extends_trait,parameters,dbt_labels
means.measurement.units.si.mole,measurement of amount in moles,means.measurement.units.si,,category:measurement|subcategory:units|type:si|role:measure|default_aggregation:sum
means.measurement.units.si.candela,measurement of luminous intensity in candelas,means.measurement.units.si,,category:measurement|subcategory:units|type:si|role:measure|default_aggregation:sum
means.measurement.units.si.hertz,measurement of frequency in hertz,means.measurement.units.si,,category:measurement|subcategory:units|type:si|role:measure|default_aggregation:sum
means.measurement.units.si.radian,measurement of angle in radians,means.measurement.units.si,,category:measurement|subcategory:units|type:si|role:measure|default_aggregation:sum
means.measurement.units.si.newton,measurement of force or weight in newtons,means.measurement.units.si,,category:measurement|subcategory:units|type:si|role:measure|default_aggregation:sum
means.measurement.units.si.pascal,measurement of pressure or stress in pascals,means.measurement.units.si,,category:measurement|subcategory:units|type:si|role:measure|default_aggregation:sum
means.measurement.units.si.joule,"measurement of energy, work or heat in joules",means.measurement.units.si,,category:measurement|subcategory:units|type:si|role:measure|default_aggregation:sum
means.measurement.units.si.watt,measurement of power or radiant flux in watts,means.measurement.units.si,,category:measurement|subcategory:units|type:si|role:measure|default_aggregation:sum
means.measurement.units.si.coulomb,measurement of electric charge or amount of electricity in coulombs,means.measurement.units.si,,category:measurement|subcategory:units|type:si|role:measure|default_aggregation:sum
means.measurement.units.si.volt,"measurement of voltage, EMF, electrical potantial difference in volts",means.measurement.units.si,,category:measurement|subcategory:units|type:si|role:measure|default_aggregation:sum
means.measurement.units.si.farad,measurement of electric capacitance in farads,means.measurement.units.si,,category:measurement|subcategory:units|type:si|role:measure|default_aggregation:sum
means.measurement.units.si.ohm,"measurement of electrical resistance, impedance, reactance in ohms",means.measurement.units.si,,category:measurement|subcategory:units|type:si|role:measure|default_aggregation:sum
means.measurement.units.si.celsius,measurement of temperature in degrees celsius,means.measurement.units.si,,category:measurement|subcategory:units|type:si|role:measure|default_aggregation:sum
means.measurement.units.si.gram,measurement of mass in grams,means.measurement.units.si,,category:measurement|subcategory:units|type:si|role:measure|default_aggregation:sum
means.measurement.units.si.bitPerSecond,measurement of data rate in bits per second,means.measurement.units.si,,category:measurement|subcategory:units|type:si|role:measure|default_aggregation:sum
means.measurement.prefix,unit prefixes denoting a factor of one thousandth,means.measurement,scaleExponent,category:measurement|subcategory:prefix|role:measure|default_aggregation:sum
means.measurement.prefix.giga,denotes one thousanth of the unit; 10E9,means.measurement.prefix,,category:measurement|subcategory:prefix|type:giga|role:measure|default_aggregation:sum
means.measurement.prefix.mega,denotes one thousanth of the unit; 10E6,means.measurement.prefix,,category:measurement|subcategory:prefix|type:mega|role:measure|default_aggregation:sum
means.measurement.prefix.kilo,denotes one thousanth of the unit; 10E3,means.measurement.prefix,,category:measurement|subcategory:prefix|type:kilo|role:measure|default_aggregation:sum
means.measurement.prefix.centi,denotes one thousanth of the unit; 10E-2,means.measurement.prefix,,category:measurement|subcategory:prefix|type:centi|role:measure|default_aggregation:sum
means.measurement.prefix.milli,denotes one thousanth of the unit; 10E-3,means.measurement.prefix,,category:measurement|subcategory:prefix|type:milli|role:measure|default_aggregation:sum
means.measurement.prefix.micro,denotes one thousanth of the unit; 10E-6,means.measurement.prefix,,category:measurement|subcategory:prefix|type:micro|role:measure|default_aggregation:sum
means.measurement.prefix.nano,denotes one thousanth of the unit; 10E-9,means.measurement.prefix,,category:measurement|subcategory:prefix|type:nano|role:measure|default_aggregation:sum
means.measurement.prefix.pico,denotes one thousanth of the unit; 10E-12,means.measurement.prefix,,category:measurement|subcategory:prefix|type:pico|role:measure|default_aggregation:sum
means.measurement.units.degree,,means.measurement,,category:measurement|subcategory:units|type:degree|role:measure|default_aggregation:sum
means.measurement.currencyCode,indicates this value represents an ISO 4217 currency code,means.measurement,,category:measurement|subcategory:currencyCode|role:measure|default_aggregation:sum
means.qualification,augments the meaning of entities or attributes with a qualification,means,,category:qualification|role:dimension
means.qualification.estimate,values are an estimate only.,means.qualification,,category:qualification|subcategory:estimate|role:dimension
means.measurement.units.si.liter,si unit of measurement for volume in liters,measurement.unit.volume,,category:measurement|subcategory:units|type:si|role:measure|default_aggregation:sum
means.qualification.expected,old version of this trait for compat.,qualification.expected,,category:qualification|subcategory:expected|role:dimension
means.qualification.observed,old version of this trait for compat.,qualification.observed,,category:qualification|subcategory:observed|role:dimension
