cdm_semantic_meaning,description,extends_trait,parameters,dbt_labels
means.location.country,,means.location,,category:location|subcategory:country|role:dimension
means.location.county,,means.location.address,,category:location|subcategory:county|role:dimension
means.location.latitude,,means.location,,category:location|subcategory:latitude|role:dimension
means.location.longitude,,means.location,,category:location|subcategory:longitude|role:dimension
means.location.point,,means.location,,category:location|subcategory:point|role:dimension
means.location.postalCode,,means.location,,category:location|subcategory:postalCode|role:dimension
means.location.province,,means.location,,category:location|subcategory:province|role:dimension
means.location.region,,means.location,,category:location|subcategory:region|role:dimension
means.location.stateOrProvince,,means.location,,category:location|subcategory:stateOrProvince|role:dimension
means.location.timezone,,means.location,,category:location|subcategory:timezone|role:dimension
means.location.geo,,means.location,,category:location|subcategory:geo|role:dimension
means.location.geo.boundary,,means.location.geo,,category:location|subcategory:geo|type:boundary|role:dimension
means.location.geo.boundary.bottom,,means.location.geo.boundary,,category:location|subcategory:geo|type:boundary|role:dimension
means.location.geo.boundary.front,,means.location.geo.boundary,,category:location|subcategory:geo|type:boundary|role:dimension
means.location.geo.boundary.left,,means.location.geo.boundary,,category:location|subcategory:geo|type:boundary|role:dimension
means.location.geo.boundary.polygon,,means.location.geo.boundary,,category:location|subcategory:geo|type:boundary|role:dimension
means.location.geo.boundary.rear,,means.location.geo.boundary,,category:location|subcategory:geo|type:boundary|role:dimension
means.location.geo.boundary.right,,means.location.geo.boundary,,category:location|subcategory:geo|type:boundary|role:dimension
means.location.geo.boundary.top,,means.location.geo.boundary,,category:location|subcategory:geo|type:boundary|role:dimension
means.location.geo.centroid,,means.location.geo,,category:location|subcategory:geo|type:centroid|role:dimension
means.location.geo.centroid.X,,means.location.geo.centroid,,category:location|subcategory:geo|type:centroid|role:dimension
means.location.geo.centroid.y,,means.location.geo.centroid,,category:location|subcategory:geo|type:centroid|role:dimension
means.location.geo.centroid.z,,means.location.geo.centroid,,category:location|subcategory:geo|type:centroid|role:dimension
means.measurement,,means,,category:measurement|role:measure|default_aggregation:sum
means.measurement.age,,means.measurement,,category:measurement|subcategory:age|role:measure|default_aggregation:sum
means.measurement.code,,means.measurement,,category:measurement|subcategory:code|role:dimension
means.measurement.color,,means.measurement,,category:measurement|subcategory:color|role:measure|default_aggregation:sum
means.measurement.density,,means.measurement,,category:measurement|subcategory:density|role:measure|default_aggregation:average
means.measurement.distance,,means.measurement,,category:measurement|subcategory:distance|role:measure|default_aggregation:sum
means.measurement.sequence,,means.measurement,,category:measurement|subcategory:sequence|role:measure|default_aggregation:sum
means.measurement.temperature,,means.measurement,,category:measurement|subcategory:temperature|role:measure|default_aggregation:average
means.measurement.version,,means.measurement,,category:measurement|subcategory:version|role:dimension
means.measurement.weight,,means.measurement,,category:measurement|subcategory:weight|role:measure|default_aggregation:sum
means.measurement.currency,,means.measurement,,category:measurement|subcategory:currency|role:measure|default_aggregation:sum
means.measurement.currency.cost,,means.measurement.currency,,category:measurement|subcategory:currency|type:cost|role:measure|default_aggregation:sum
means.measurement.currency.iSOCode,,means.measurement,,category:measurement|subcategory:currency|type:iSOCode|standard:iso|role:dimension
means.measurement.currency.price,,means.measurement.currency,,category:measurement|subcategory:currency|type:price|role:measure|default_aggregation:sum
