cdm_manifest_name,cdm_manifest_path,cdm_version,dbt_schema_name
CommerceEmployees,local:/core/operationsCommon/Entities/Commerce/CommerceEmployees/CommerceEmployees.1.1.manifest.cdm.json,1.1,commerce_employees
CommerceMiscellaneous,local:/core/operationsCommon/Entities/Commerce/CommerceMiscellaneous/CommerceMiscellaneous.1.1.manifest.cdm.json,1.1,commerce_miscellaneous
InventoryAndAdvancedWarehouse,local:/core/operationsCommon/Entities/Commerce/InventoryAndAdvancedWarehouse/InventoryAndAdvancedWarehouse.1.1.manifest.cdm.json,1.1,inventory_and_advanced_warehouse
Merchandising,local:/core/operationsCommon/Entities/Commerce/Merchandising/Merchandising.1.1.manifest.cdm.json,1.1,merchandising
Payments,local:/core/operationsCommon/Entities/Commerce/Payments/Payments.1.1.manifest.cdm.json,1.1,payments
TransactionsAndOrders,local:/core/operationsCommon/Entities/Commerce/TransactionsAndOrders/TransactionsAndOrders.1.1.manifest.cdm.json,1.1,transactions_and_orders
Common,local:/core/operationsCommon/Entities/Common/Common.1.0.3.manifest.cdm.json,1.0.3,common
Currency,local:/core/operationsCommon/Entities/Common/Currency/Currency.1.2.manifest.cdm.json,1.2,currency
Customer,local:/core/operationsCommon/Entities/Common/Customer/Customer.1.2.manifest.cdm.json,1.2,customer
EMPAShared,local:/core/operationsCommon/Entities/Common/EMPAShared/EMPAShared.1.2.manifest.cdm.json,1.2,empa_shared
GAB,local:/core/operationsCommon/Entities/Common/GAB/GAB.1.2.manifest.cdm.json,1.2,gab
Finance,local:/core/operationsCommon/Entities/Finance/Finance.1.0.3.manifest.cdm.json,1.0.3,finance
AccountsPayable,local:/core/operationsCommon/Entities/Finance/AccountsPayable/AccountsPayable.1.2.manifest.cdm.json,1.2,accounts_payable
AccountsReceivable,local:/core/operationsCommon/Entities/Finance/AccountsReceivable/AccountsReceivable.1.2.manifest.cdm.json,1.2,accounts_receivable
APARShared,local:/core/operationsCommon/Entities/Finance/APARShared/APARShared.1.2.manifest.cdm.json,1.2,apar_shared
Budgeting,local:/core/operationsCommon/Entities/Finance/Budgeting/Budgeting.1.2.manifest.cdm.json,1.2,budgeting
CashAndBankManagement,local:/core/operationsCommon/Entities/Finance/CashAndBankManagement/CashAndBankManagement.1.2.manifest.cdm.json,1.2,cash_and_bank_management
EInvoice,local:/core/operationsCommon/Entities/Finance/EInvoice/EInvoice.1.2.manifest.cdm.json,1.2,e_invoice
FinancialDimensions,local:/core/operationsCommon/Entities/Finance/FinancialDimensions/FinancialDimensions.1.2.manifest.cdm.json,1.2,financial_dimensions
FiscalBooks_BR,local:/core/operationsCommon/Entities/Finance/FiscalBooks_BR/FiscalBooks_BR.1.2.manifest.cdm.json,1.2,fiscal_books_br
FixedAssets,local:/core/operationsCommon/Entities/Finance/FixedAssets/FixedAssets.1.2.manifest.cdm.json,1.2,fixed_assets
GeneralLedger,local:/core/operationsCommon/Entities/Finance/GeneralLedger/GeneralLedger.1.2.manifest.cdm.json,1.2,general_ledger
